scenario_id,terrain_type,response_budget,advantage,red_quality,red_doctrinal_alignment,candidate_diversity,candidate_quality_spread,n_pareto_optimal
air-defense-118,air_defense,8,0.4915366062918705,0.25585357483251797,0.805,0.6684523809523809,0.26897422272668914,2
air-defense-118,air_defense,16,0.4915366062918705,0.25585357483251797,0.805,0.648333333333333,0.26897422272668914,2
humanitarian-evacuation-119,urban_humanitarian,1,0.4891139044431835,0.242544382227266,1.0,0.0,0.0,1
humanitarian-evacuation-119,urban_humanitarian,2,0.4891139044431835,0.242544382227266,1.0,0.6666666666666667,0.12693609347361173,1
humanitarian-evacuation-119,urban_humanitarian,4,0.47541826790690317,0.2973269283723873,0.73,0.6666666666666666,0.18171863961873302,2
humanitarian-evacuation-119,urban_humanitarian,8,0.47541826790690317,0.2973269283723873,0.73,0.6351190476190478,0.1872953985315487,2
humanitarian-evacuation-119,urban_humanitarian,16,0.4604032261976065,0.357387095209574,1.0,0.6140277777777778,0.314643041261564,1
urban-118,urban,1,0.5106069619629776,0.11636788405893685,0.59,0.0,0.0,1
urban-118,urban,2,0.4722986867994448,0.2696009847130678,0.59,0.5,0.15323310065413098,1
urban-118,urban,4,0.46154660686274473,0.31260930445986823,0.59,0.8611111111111112,0.2913530001177786,1
urban-118,urban,8,0.46154660686274473,0.31260930445986823,0.59,0.7678571428571429,0.2913530001177786,3
urban-118,urban,16,0.46154660686274473,0.31260930445986823,0.59,0.7750000000000005,0.33492042916964293,3
maritime-119,maritime,1,0.493541374992182,0.257834500031272,0.485,0.0,0.0,1
maritime-119,maritime,2,0.493541374992182,0.257834500031272,0.485,0.8,0.07515025217423024,2
maritime-119,maritime,4,0.493541374992182,0.257834500031272,0.485,0.7722222222222221,0.14042800784727982,3
maritime-119,maritime,8,0.493541374992182,0.257834500031272,0.485,0.6529761904761904,0.18563610045217732,3
maritime-119,maritime,16,0.4877799020959885,0.28088039161604594,0.76,0.7037500000000001,0.27120804261456744,2
multi-domain-120,mixed,1,0.5017243667257122,0.257834500031272,0.485,0.0,0.0,1
multi-domain-120,mixed,2,0.5017243667257122,0.257834500031272,0.485,0.8,0.07515025217423024,2
multi-domain-120,mixed,4,0.5017243667257122,0.257834500031272,0.485,0.7722222222222221,0.14042800784727982,3
multi-domain-120,mixed,8,0.5017243667257122,0.257834500031272,0.485,0.6529761904761904,0.18563610045217732,3
multi-domain-120,mixed,16,0.4959628938295187,0.28088039161604594,0.76,0.7037500000000001,0.27120804261456744,2
air-defense-121,air_defense,1,0.5034353692497344,0.2082585230010625,0.67,0.0,0.0,1
air-defense-121,air_defense,2,0.5034353692497344,0.2082585230010625,0.67,0.5,0.09972054058789658,2
air-defense-121,air_defense,4,0.4718563518973671,0.3345745924105316,0.665,0.5916666666666667,0.2623761928314369,3
